Date,Close/Last,Volume,Open,High,Low
12/06/2017,$148.44,33150610,$148.17,$149.20,$144.56
9/06/2017,$149.60,35541670,$154.77,$155.59,$146.61
8/06/2017,$154.71,17795860,$154.08,$154.73,$153.10
7/06/2017,$153.12,12040430,$153.27,$153.75,$152.34
6/06/2017,$152.81,13443610,$153.41,$154.52,$152.48
5/06/2017,$153.63,12504820,$153.64,$154.71,$153.41
2/06/2017,$153.61,16838650,$151.85,$153.63,$151.30
1/06/2017,$151.53,14511530,$151.75,$152.29,$150.30
31/05/2017,$151.46,18001140,$152.70,$153.35,$151.09
30/05/2017,$152.38,13213700,$151.97,$152.90,$151.64
26/05/2017,$152.13,14984540,$152.23,$152.25,$151.15
25/05/2017,$151.96,19827210,$150.30,$152.59,$149.95
24/05/2017,$150.04,17914740,$148.51,$150.23,$148.42
23/05/2017,$148.07,12807840,$148.52,$148.81,$147.25
22/05/2017,$148.24,12578390,$148.08,$148.59,$147.69
19/05/2017,$148.06,16165160,$148.45,$149.39,$147.96
18/05/2017,$147.66,22778870,$144.72,$148.15,$144.51
17/05/2017,$144.85,28232610,$148.00,$148.67,$144.42
16/05/2017,$149.78,14506870,$150.11,$150.21,$149.03
15/05/2017,$150.19,14952950,$150.17,$151.48,$149.77
12/05/2017,$150.33,9584769,$150.40,$150.46,$149.63
11/05/2017,$150.04,11832750,$150.31,$150.65,$149.41
10/05/2017,$150.29,11994140,$150.23,$150.52,$148.86
9/05/2017,$150.48,17381800,$151.49,$152.59,$150.21
8/05/2017,$151.06,15813350,$150.71,$151.08,$149.74
5/05/2017,$150.24,17104730,$151.45,$151.63,$149.79
4/05/2017,$150.85,36185180,$150.17,$151.52,$148.72
3/05/2017,$151.80,28301550,$153.60,$153.60,$151.34
2/05/2017,$152.78,21617190,$153.34,$153.44,$151.66
1/05/2017,$152.46,25170200,$151.74,$152.57,$151.42
28/04/2017,$150.25,30607510,$149.50,$151.53,$149.07
27/04/2017,$147.70,11072600,$146.67,$147.75,$146.14
26/04/2017,$146.56,12388100,$147.09,$147.59,$146.09
25/04/2017,$146.49,17718030,$145.79,$147.15,$145.79
24/04/2017,$145.47,14397480,$144.96,$145.67,$144.34
21/04/2017,$143.68,12172640,$143.90,$144.17,$142.27
20/04/2017,$143.80,15948700,$142.95,$144.25,$142.69
19/04/2017,$142.27,15544500,$141.35,$143.04,$141.27
18/04/2017,$140.96,14795020,$141.27,$141.91,$140.61
17/04/2017,$141.42,11488510,$139.76,$141.55,$139.75
13/04/2017,$139.39,10939950,$139.62,$140.58,$139.33
12/04/2017,$139.58,11600930,$139.72,$140.40,$139.44
11/04/2017,$139.92,16627940,$140.80,$141.03,$138.81
10/04/2017,$141.04,9033921,$141.00,$141.43,$140.63
7/04/2017,$140.78,11811450,$141.20,$141.55,$140.24
6/04/2017,$141.17,15089610,$142.11,$142.22,$140.91
5/04/2017,$141.85,17132150,$142.26,$143.44,$141.29
4/04/2017,$141.73,11934110,$141.86,$142.09,$141.27
3/04/2017,$142.28,13552550,$141.93,$142.47,$140.82
31/03/2017,$142.05,11366390,$142.31,$142.63,$141.89
30/03/2017,$142.41,12393610,$142.40,$142.95,$141.85
29/03/2017,$142.65,16504590,$141.99,$142.86,$141.43
28/03/2017,$141.76,14660670,$140.36,$141.95,$140.01
27/03/2017,$140.32,12791820,$139.05,$140.65,$138.77
24/03/2017,$140.34,16636900,$140.08,$141.02,$139.76
23/03/2017,$139.53,12992700,$139.48,$140.39,$139.09
22/03/2017,$139.59,17020610,$137.93,$139.79,$137.60
21/03/2017,$138.51,29855980,$141.15,$142.31,$138.40
20/03/2017,$139.94,12002150,$139.71,$140.19,$139.25
17/03/2017,$139.84,20487730,$140.34,$140.34,$139.70
16/03/2017,$139.99,13604260,$140.20,$140.25,$139.73
15/03/2017,$139.72,19315340,$139.29,$140.10,$138.49
14/03/2017,$139.32,12935370,$139.46,$139.46,$138.52
13/03/2017,$139.60,10949000,$138.71,$139.68,$138.67
10/03/2017,$138.79,16299220,$138.91,$139.49,$138.22
9/03/2017,$138.24,15523900,$137.72,$138.57,$137.40
8/03/2017,$137.72,10174840,$137.15,$137.99,$137.05
7/03/2017,$137.30,13517880,$137.03,$138.37,$136.99
6/03/2017,$137.42,12562040,$136.88,$137.83,$136.51
3/03/2017,$137.17,11154380,$136.63,$137.33,$136.08
2/03/2017,$136.76,12278560,$137.09,$137.82,$136.31
1/03/2017,$137.42,16241330,$136.47,$137.48,$136.30
28/02/2017,$135.54,16096310,$136.79,$136.81,$134.75
27/02/2017,$136.41,14300970,$135.26,$137.18,$135.02
24/02/2017,$135.44,12617180,$134.16,$135.62,$134.16
23/02/2017,$135.36,18408460,$135.89,$136.12,$134.33
22/02/2017,$136.12,27331930,$133.60,$136.79,$133.46
21/02/2017,$133.72,14735860,$133.50,$133.91,$132.90
17/02/2017,$133.53,12265480,$133.50,$134.09,$133.17
16/02/2017,$133.84,12816260,$133.07,$133.87,$133.02
15/02/2017,$133.44,13215470,$133.45,$133.70,$132.66
14/02/2017,$133.85,14346090,$134.10,$134.23,$132.55
13/02/2017,$134.05,13511640,$134.70,$134.70,$133.70
10/02/2017,$134.19,15050270,$134.10,$134.94,$133.68
9/02/2017,$134.14,16454060,$134.49,$134.50,$133.31
8/02/2017,$134.20,22370760,$132.60,$134.44,$132.44
7/02/2017,$131.84,14585030,$132.24,$133.00,$131.66
6/02/2017,$132.06,17015610,$130.98,$132.06,$130.30
3/02/2017,$130.98,24776070,$131.24,$132.85,$130.76
2/02/2017,$130.84,54281800,$133.22,$135.49,$130.40
1/02/2017,$133.23,47329480,$132.25,$133.49,$130.68
31/01/2017,$130.32,19642550,$130.17,$130.66,$129.52
30/01/2017,$130.98,18919750,$131.58,$131.58,$129.60
27/01/2017,$132.18,19505970,$132.68,$132.95,$131.08
26/01/2017,$132.78,19964800,$131.63,$133.14,$131.44
25/01/2017,$131.48,18745640,$130.00,$131.74,$129.77
24/01/2017,$129.37,15140910,$129.38,$129.90,$128.38
23/01/2017,$128.93,16566300,$127.31,$129.25,$126.95
20/01/2017,$127.04,19068380,$128.10,$128.48,$126.78
19/01/2017,$127.55,12171270,$128.23,$128.35,$127.45
18/01/2017,$127.92,13107440,$128.41,$128.43,$126.84
17/01/2017,$127.87,15279990,$128.04,$128.34,$127.40
13/01/2017,$128.34,24857410,$127.49,$129.27,$127.37
12/01/2017,$126.62,18596580,$125.61,$126.73,$124.80
11/01/2017,$126.09,18334560,$124.35,$126.12,$124.06
10/01/2017,$124.35,17299590,$124.82,$125.50,$124.28
9/01/2017,$124.90,22874170,$123.55,$125.43,$123.04
6/01/2017,$123.41,28525570,$120.98,$123.88,$120.03
5/01/2017,$120.67,19459380,$118.86,$120.95,$118.32
4/01/2017,$118.69,19594560,$117.55,$119.66,$117.29
3/01/2017,$116.86,20635600,$116.03,$117.84,$115.51
30/12/2016,$115.05,18668290,$116.60,$116.83,$114.77
29/12/2016,$116.35,9925082,$117.00,$117.53,$116.06
28/12/2016,$116.92,11985740,$118.19,$118.25,$116.65
27/12/2016,$118.01,12034590,$116.96,$118.68,$116.86
23/12/2016,$117.27,10885030,$117.00,$117.56,$116.30
22/12/2016,$117.40,16226770,$118.86,$118.99,$116.93
21/12/2016,$119.04,10747610,$118.92,$119.20,$118.48
20/12/2016,$119.09,13673570,$119.50,$119.77,$118.80
19/12/2016,$119.24,15871360,$119.85,$120.36,$118.51
16/12/2016,$119.87,25316220,$120.90,$121.50,$119.27
15/12/2016,$120.57,20113550,$120.08,$122.50,$119.63
14/12/2016,$120.21,25890630,$120.00,$121.69,$118.85
13/12/2016,$120.31,29568990,$117.86,$121.52,$117.61
12/12/2016,$117.77,17782470,$119.22,$119.24,$117.65
9/12/2016,$119.68,17452710,$119.22,$119.94,$118.95
8/12/2016,$118.91,22427310,$117.98,$119.50,$117.64
7/12/2016,$117.95,21891800,$117.00,$117.95,$116.57
6/12/2016,$117.31,19089060,$117.69,$117.80,$116.33
5/12/2016,$117.43,20123920,$115.95,$117.57,$115.07
2/12/2016,$115.40,25050450,$115.11,$116.48,$114.30
1/12/2016,$115.10,43231480,$118.38,$118.45,$114.00
30/11/2016,$118.42,30135230,$120.32,$121.79,$117.95
29/11/2016,$120.87,18871130,$120.57,$122.10,$120.40
28/11/2016,$120.41,18081770,$120.12,$121.69,$119.82
25/11/2016,$120.38,8658605,$121.01,$121.14,$120.07
23/11/2016,$120.84,15646580,$121.23,$121.31,$119.94
22/11/2016,$121.47,26006340,$122.40,$122.98,$120.90
21/11/2016,$121.77,35359460,$118.20,$121.95,$117.80
18/11/2016,$117.02,22768330,$118.39,$119.13,$116.84
17/11/2016,$117.79,18570820,$116.81,$117.79,$116.01
16/11/2016,$116.34,32358800,$114.48,$117.88,$114.21
15/11/2016,$117.20,34629110,$116.73,$118.49,$115.83
14/11/2016,$115.08,51315610,$119.13,$119.13,$113.55
11/11/2016,$119.02,32814370,$119.53,$120.70,$118.15
10/11/2016,$120.80,67808300,$123.93,$124.18,$115.27
9/11/2016,$123.18,31883790,$121.50,$123.81,$120.51
8/11/2016,$124.22,19391790,$122.03,$124.61,$121.54
7/11/2016,$122.15,22957100,$122.83,$123.21,$121.35
4/11/2016,$120.75,30468330,$119.59,$121.93,$119.25
3/11/2016,$120.00,63660540,$122.00,$123.28,$119.50
